id,person,year,title,kind,evidenceStatus,sourceUrl,note,publicationDecision,decisionReason,decisionOn,timCoauthor,awardId
candidate-011,Ashish Sharma,2019,SIGIR travel grant for CIKM,travel,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-ashishsharma-sigir-travel-grant-for-cikm
candidate-012,Ashish Sharma,2017,COMSNETS Best Academic Demo — CommBox,demo,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,excluded,All demo awards excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-013,Ashish Sharma,2017,S.N. Bose Scholarship,scholarship,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2017-ashishsharma-s-n-bose-scholarship
candidate-014,Ashish Sharma,2017,COMSNETS travel grant,travel,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2017-ashishsharma-comsnets-travel-grant
candidate-015,Ashish Sharma,2016,Goralal Syngal Memorial Scholarship,scholarship,personal-source,https://ash-shar.github.io/cv/,Before UW lab affiliation.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2016-ashishsharma-goralal-syngal-memorial-scholarship
candidate-016,Bret Nestor,,Thomas & Betts Scholarship Award,scholarship,indexed-profile-only,https://ca.linkedin.com/in/bret-nestor-748245ba,Indexed LinkedIn profile matches UBC engineering education; direct page unavailable. Exact years unresolved.,deferred,Award year is unresolved; no date invented.,2026-09-09,,
candidate-017,Bret Nestor,,President’s Entrance Scholarship,scholarship,indexed-profile-only,https://ca.linkedin.com/in/bret-nestor-748245ba,Indexed LinkedIn profile matches UBC engineering education; direct page unavailable. Exact years unresolved.,deferred,Award year is unresolved; no date invented.,2026-09-09,,
candidate-018,Cheng Li,2024,NeurIPS Scholar Award,travel,personal-source,https://chengli0228.github.io/assets/pdf/CV.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-chengli-neurips-scholar-award
candidate-019,Cheng Li,2024,ICML Travel Award,travel,personal-source,https://chengli0228.github.io/assets/pdf/CV.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-chengli-icml-travel-award
candidate-020,Deniz Nazar,2024,Allen School First-Year PhD Fellowship,fellowship,personal-source,https://gonzoden.github.io/files/CV_Deniz_Nazar_short.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-deniznazarova-allen-school-first-year-phd-fellowship
candidate-021,Deniz Nazar,2023,"Best Thesis Award, American University of Central Asia",dissertation,personal-source,https://gonzoden.github.io/files/CV_Deniz_Nazar_short.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-deniznazarova-best-thesis-award-american-university-of-central-asia
candidate-022,Deniz Nazar,2021,"Best Internship Award, American University of Central Asia",student,personal-source,https://gonzoden.github.io/files/CV_Deniz_Nazar_short.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-deniznazarova-best-internship-award-american-university-of-central-asia
candidate-023,Deniz Nazar,2018,"Golden Certificate Scholarship, Kyrgyz Republic",scholarship,personal-source,https://gonzoden.github.io/files/CV_Deniz_Nazar_short.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2018-deniznazarova-golden-certificate-scholarship-kyrgyz-republic
candidate-024,Galen Weld,2019,ASSETS Best Student Paper — Deep Learning for Automatically Detecting Sidewalk Accessibility Problems Using Streetscape Imagery,paper,institution-confirmed,https://news.cs.washington.edu/2019/11/06/allen-school-accessibility-researchers-past-and-present-shine-at-assets-2019/,"Makeability Lab work, no Tim coauthorship; not currently a site publication.",excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-025,Galen Weld,2025–2026,UW Data Science Postdoctoral Fellowship,fellowship,personal-source,https://galenweld.com/s/galen_weld_cv_for_web_may_2026.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2025-galenweld-uw-data-science-postdoctoral-fellowship
candidate-026,Galen Weld,2018–2019,Gaetano Borriello Endowed Fellowship,fellowship,personal-source,https://galenweld.com/s/galen_weld_cv_for_web_may_2026.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2018-galenweld-gaetano-borriello-endowed-fellowship
candidate-027,Galen Weld,2022,ICWSM Best Reviewer,service,personal-source,https://galenweld.com/s/galen_weld_cv_for_web_may_2026.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2022-galenweld-icwsm-best-reviewer
candidate-028,Galen Weld,2025,ICWSM Best Reviewer,service,personal-source,https://galenweld.com/s/galen_weld_cv_for_web_may_2026.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2025-galenweld-icwsm-best-reviewer
candidate-029,Jina Suh,2026,"Van Leer Fellowship, 2026–2027 cohort",fellowship,organizer-confirmed,https://vanleerfoundation.org/van-leer-fellowship/,Recipient profile: https://vanleerfoundation.org/fellows/jina-suh/ .,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2026-jinasuh-van-leer-fellowship-2026-2027-cohort
candidate-030,Jina Suh,2021,Kavli Frontiers of Science Symposium invited participant,selection,personal-source,https://static1.squarespace.com/static/60a9873d5547913cc2cb75b6/t/61d5bc61e96ce010c7867e95/1641397345651/Jina_Suh_CV.pdf,Use invited-participant wording from CV.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-jinasuh-kavli-frontiers-of-science-symposium-invited-participant
candidate-031,Jina Suh,2021,Rising Stars in EECS participant,selection,personal-source,https://static1.squarespace.com/static/60a9873d5547913cc2cb75b6/t/61d5bc61e96ce010c7867e95/1641397345651/Jina_Suh_CV.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-jinasuh-rising-stars-in-eecs-participant
candidate-032,Joy He-Yueya,2021,CRA Outstanding Undergraduate Researcher Award — Winner,student,institution-confirmed,https://www.cs.washington.edu/academics/undergraduate/student-life/student-recognition/,CRA January 2021 announcement also identifies Joy: https://cra.org/crn/wp-content/uploads/sites/7/2021/01/JAN-21-CRN.pdf .,excluded,Awards and honors for Joy He-Yueya excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-033,Joy He-Yueya,2021,Allen School Best Senior Thesis Award,dissertation,institution-confirmed,https://www.cs.washington.edu/academics/undergraduate/student-resources/scholarships-awards/senior-thesis-award/,"One of two 2021 winners, supervised by Tim. Not the 2022 winner.",excluded,Awards and honors for Joy He-Yueya excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-034,Joy He-Yueya,,Mary Gates Research Scholarship,scholarship,institution-confirmed-year-unresolved,https://news.cs.washington.edu/2021/01/15/computing-research-association-recognizes-undergraduates-advancing-data-science-for-mental-health-commonsense-reasoning-mobile-health-sensing-and-more/,Award exists; exact award year unresolved. Do not use article date as award year.,excluded,Awards and honors for Joy He-Yueya excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-035,Ken Gu,2025,ResponsibleFM Best Paper — Completion ≠ Collaboration: Scaling Collaborative Effort with Agents,paper,organizer-confirmed,https://responsible-fm.github.io/,Workshop at NeurIPS 2025; later ACL Findings 2026. Not a main-conference NeurIPS award. No Tim coauthorship.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-036,Margaret Li,2022,DADC Best Paper — Overconfidence in the Face of Ambiguity with Adversarial Data,paper,organizer-confirmed,https://aclanthology.org/2022.dadc-1.pdf,NAACL workshop proceedings explicitly schedule the best-paper talk by Margaret Li and Julian Michael. No Tim coauthorship.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-037,Melih Yilmaz,2020,Allen School First-Year PhD Fellowship,fellowship,personal-source,https://melihyilmaz.github.io/files/melih_yilmaz_cv.pdf,UW identity corroborated by Noble’s CV; do not confuse with Boston University student of same name.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2020-melihyilmaz-allen-school-first-year-phd-fellowship
candidate-038,Melih Yilmaz,2016,MEXT Scholarship in Science,scholarship,personal-source,https://melihyilmaz.github.io/files/melih_yilmaz_cv.pdf,UW identity corroborated by Noble’s CV; do not confuse with Boston University student of same name.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2016-melihyilmaz-mext-scholarship-in-science
candidate-039,Melih Yilmaz,2015,Turkish Government High Honour Scholarship,scholarship,personal-source,https://melihyilmaz.github.io/files/melih_yilmaz_cv.pdf,UW identity corroborated by Noble’s CV; do not confuse with Boston University student of same name.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2015-melihyilmaz-turkish-government-high-honour-scholarship
candidate-040,Melih Yilmaz,2015,Koç University Suna Kıraç Scholarship,scholarship,personal-source,https://melihyilmaz.github.io/files/melih_yilmaz_cv.pdf,UW identity corroborated by Noble’s CV; do not confuse with Boston University student of same name.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2015-melihyilmaz-ko-university-suna-k-ra-scholarship
candidate-041,Mickel Liu,2024–2025,Allen School CSE Fellowship,fellowship,personal-source,https://mickel-liu.github.io/files/misc/short-cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-mickelliu-allen-school-cse-fellowship
candidate-042,Mickel Liu,2023,NeurIPS Scholar Award,travel,personal-source,https://mickel-liu.github.io/files/misc/short-cv.pdf,,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2023-mickelliu-neurips-scholar-award
candidate-043,Mickel Liu,2021–2023,CSC Scholarship,scholarship,personal-source,https://mickel-liu.github.io/files/misc/short-cv.pdf,CV says 2021–2023; homepage says 2020–2023. Start year unresolved.,deferred,Scholarship start year conflicts between sources.,2026-09-09,,
candidate-044,Mike Merrill,2019,Corin Anderson Endowed Fellowship,fellowship,personal-source,https://mikemerrill.io/resources/Mike_Merrill_CV.pdf,"Personal CV, dated 2024.",applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-mikemerrill-corin-anderson-endowed-fellowship
candidate-045,Mike Merrill,2017,Cornell Information Science Excellence in Research,student,personal-source,https://mikemerrill.io/resources/Mike_Merrill_CV.pdf,"Personal CV, dated 2024.",applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2017-mikemerrill-cornell-information-science-excellence-in-research
candidate-046,Mike Merrill,2014,"Big Red Idea, CU Tonight",student,personal-source,https://mikemerrill.io/resources/Mike_Merrill_CV.pdf,"Personal CV, dated 2024.",applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2014-mikemerrill-big-red-idea-cu-tonight
candidate-047,Mike Merrill,2014,RECESS Pitch Festival Finalist Travel Grant,travel,personal-source,https://mikemerrill.io/resources/Mike_Merrill_CV.pdf,"Finalist travel grant, not a competition win.",applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2014-mikemerrill-recess-pitch-festival-finalist-travel-grant
candidate-048,Rongwu Danny Xu,2024,ACL Outstanding Paper — The Earth is Flat because…: Investigating LLMs’ Belief towards Misinformation via Persuasive Conversation,paper,publisher-confirmed,https://aclanthology.org/2024.acl-long.858/,Tsinghua work before UW affiliation; no Tim coauthorship.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-049,Rongwu Danny Xu,2025,Allen School First-Year Graduate Student Fellowship,fellowship,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-050,Rongwu Danny Xu,2025,Tsinghua Outstanding Graduate,student,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-051,Rongwu Danny Xu,2025,Tsinghua Outstanding Master Thesis,dissertation,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-052,Rongwu Danny Xu,2024,Tsinghua Excellent Teaching Assistant,teaching,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-053,Rongwu Danny Xu,2024,China National Scholarship,scholarship,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-054,Rongwu Danny Xu,2024,Tsinghua Outstanding Student Cadre,student,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-055,Rongwu Danny Xu,2020,Tsinghua Technological Innovation Excellence Scholarship,scholarship,indexed-profile-only,https://www.linkedin.com/in/rongwuxu,Public indexed profile matches UW/Tsinghua identity. Former CV URL returns 404.,deferred,Only indexed profile evidence available; direct source needs verification.,2026-09-09,,
candidate-056,Tim Althoff,2017,IMIA Clinical NLP Best Paper selection — Large-scale Analysis of Counseling Conversations,paper,organizer-confirmed,https://homes.cs.washington.edu/~althoff/docs/imia_best_paper_2016_award.pdf,2017 yearbook selects five papers published in 2016. Existing publication althoff2016counseling. Tim’s CV dates recognition to 2017.,excluded,Tim’s 2017 recognitions excluded from this backfill by maintainer instruction; the IMIA paper award is too old for this selection.,2026-09-09,True,
candidate-057,Tim Althoff,2024,UW Digital Accessibility Team Award — CREATE Accessible Data Science and STEM Lecture Team,team,institution-confirmed-team,https://www.washington.edu/accesstech/get-involved/events/awards/2024-digital-accessibility-awards/,Award recipient is the team. Tim’s CV lists participation; never describe him as sole recipient.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2024-timalthoff-uw-digital-accessibility-team-award-create-accessible-data-science-and-stem-lecture-t
candidate-058,Tim Althoff,2019,Kavli Fellow,fellowship,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Use fellowship wording; this is not a paper award.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-timalthoff-kavli-fellow
candidate-059,Tim Althoff,2019,UW eScience Fellow,fellowship,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Use fellowship wording; this is not a paper award.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2019-timalthoff-uw-escience-fellow
candidate-060,Tim Althoff,2014,Digital Ecologies Research Partnership Fellow,fellowship,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Use fellowship wording; this is not a paper award.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2014-timalthoff-digital-ecologies-research-partnership-fellow
candidate-061,Tim Althoff,2017,Altmetric Top 100 — Physical Activity Inequality,attention,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Attention rankings do not qualify as paper awards.,excluded,Tim’s 2017 recognitions excluded from this backfill by maintainer instruction; the IMIA paper award is too old for this selection.,2026-09-09,,
candidate-062,Tim Althoff,2017,JMIR most-tweeted recognition for 2016 Pokémon Go paper,attention,personal-source,https://homes.cs.washington.edu/~althoff/docs/CV_Tim_Althoff.pdf,Attention rankings do not qualify as paper awards.,excluded,Tim’s 2017 recognitions excluded from this backfill by maintainer instruction; the IMIA paper award is too old for this selection.,2026-09-09,,
candidate-063,Tim Althoff,,Research prize for trend analysis in online media,student,unresolved,https://www.dfki.de/fileadmin/user_upload/DFKI/Medien/News_Media/News_und_Events/Newsletter/DFKI_NL_31_eng_web.pdf,Research lead; prize name and year need full verification.,deferred,Award year is unresolved; no date invented.,2026-09-09,,
candidate-064,Vinayak Gupta,2021,AI-ML Systems Best Doctoral Work — Learning Neural Models for Continuous-Time Sequences,dissertation,organizer-confirmed,https://www.aimlsystems.org/2021/awards,Official winners list uses Best Doctoral Work and names the thesis presentation. CV calls it Outstanding Doctoral Paper Award; use the organizer label.,excluded,Awards and honors for Vinayak Gupta excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-065,Vinayak Gupta,2022,"NASSCOM AI Gamechangers — Runner-up, ML Fundamentals",competition,personal-source,https://gvinayak.github.io/assets/Vinayak_Gupta_PhD.pdf,Report link: https://indiaai.gov.in/research-reports/ai-gamechangers-2022-realizing-india-s-ai-promise . Team/project credit should be checked before publication.,excluded,Awards and honors for Vinayak Gupta excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-066,Xinyi Zhou,2026,Early Scholar Award,student,personal-source,https://www.xinyizhou.xyz/,2026 recognitions are after UW affiliation; Early Scholar awarding unit needs confirmation.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-067,Xinyi Zhou,2026,Idaho AI Combine Faculty Fellow,fellowship,personal-source,https://www.xinyizhou.xyz/,2026 recognitions are after UW affiliation; Early Scholar awarding unit needs confirmation.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-068,Xinyi Zhou,2024,"Rising Star in EECS, MIT",selection,personal-source,https://www.xinyizhou.xyz/,2026 recognitions are after UW affiliation; Early Scholar awarding unit needs confirmation.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-069,Xinyi Zhou,2024,"Rising Star in Data Science, UCSD/UChicago/Stanford",selection,personal-source,https://www.xinyizhou.xyz/,2026 recognitions are after UW affiliation; Early Scholar awarding unit needs confirmation.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-070,Xinyi Zhou,2024,Madrona Prize — AI-assisted team communication research,team,organizer-confirmed,https://www.madrona.com/madrona-prize-2024/,"Team led by Ruotong Wang with Xinyi Zhou, Lin Qiu and Amy X. Zhang, Social Futures Lab. Project award, not a CHI paper award.",excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-071,Xinyi Zhou,2024,UW CSE Postdoc Research Award,student,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-072,Xinyi Zhou,2023,Syracuse Doctoral Prize,dissertation,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-073,Xinyi Zhou,2022,UW Data Science Postdoctoral Fellowship,fellowship,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-074,Xinyi Zhou,2022,Syracuse Research Excellence Doctoral Fellowship,fellowship,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-075,Xinyi Zhou,2019,Varshney Graduate Scholarship,scholarship,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-076,Xinyi Zhou,2018,China 100 Most Influential Research Papers of 2017,attention,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-077,Xinyi Zhou,2016,China National Scholarship,scholarship,indexed-cv-only,https://xinyizhou.xyz/assets/pdf/XinyiZhou_CV.pdf,Indexed CV readable in search; direct PDF fetch fails. Exact paper for 2018 recognition unresolved.,excluded,Awards and honors for Xinyi Zhou excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-078,Yasaman Sefidgar,2024,CHI Best Paper — MigraineTracker,paper,institution-confirmed,https://www.cs.washington.edu/research/award-papers/,Before affiliation with Tim’s lab; no Tim coauthorship.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-079,Yasaman Sefidgar,2021,Meta/Facebook PhD Fellowship,fellowship,institution-confirmed,https://news.cs.washington.edu/2021/06/18/allen-schools-yasaman-sefidgar-earns-facebook-fellowship-for-her-work-in-building-supportive-social-systems/,CV tenure 2021–2023.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2021-yasamansefidgar-meta-facebook-phd-fellowship
candidate-080,Yasaman Sefidgar,2017,HRI recognition — Situated Tangible Robot Programming,paper,conflicting,https://hcrlab.cs.washington.edu/news/2017/03/hri-2017-best-paper-award-finalist/,Lab announcement says best design paper finalist; CV says honorable mention. Hold exact label; do not count as confirmed award.,excluded,Tim Althoff is not a coauthor of the awarded paper; excluded by maintainer instruction.,2026-09-09,False,
candidate-081,Yasaman Sefidgar,2015,"Health Systems Management Award, Ontario Health",team,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,deferred,Team attribution and awarded project need confirmation.,2026-09-09,,
candidate-082,Yasaman Sefidgar,2012,IEEE Haptics Symposium Best Demo Honorable Mention,demo,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,excluded,All demo awards excluded from this backfill by maintainer instruction.,2026-09-09,,
candidate-083,Yasaman Sefidgar,2009,UBC Merit Scholarship,scholarship,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2009-yasamansefidgar-ubc-merit-scholarship
candidate-084,Yasaman Sefidgar,2008,Sharif Exceptional Talent Award,student,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2008-yasamansefidgar-sharif-exceptional-talent-award
candidate-085,Yasaman Sefidgar,2012,UBC Student Service Award,service,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2012-yasamansefidgar-ubc-student-service-award
candidate-086,Yasaman Sefidgar,2006–2007,Sharif badminton competition champion,sports,personal-source,https://yasamansefidgar.com/2411-YSSCV.pdf,Before Tim lab affiliation. Exact demo title / team recipients need confirmation for demo or team records.,applied,Approved in the maintainer’s request to add the remaining honors to the website.,2026-09-09,,2006-yasamansefidgar-sharif-badminton-competition-champion
